Zeitstempel,Bitte gib deinen Namen an:,Bitte gib dein Geschlecht an:,Bewerten Sie Ihr Verständnis für das Thema HTML und JavaScript.,Wie schätzt du deine Kentnisse in der Erstellung von Websiten ein?,Wie viele Stunden hast du bereits für deine Website investiert?,Ich habe gerne Menschen um mich.,"In Konflikten sehe ich die Sache im Vordergrund, die Person eher im Hintergrund.",Anerkennung und Lob gehören für mich zu den wichtigsten Führungsinstrumenten.,"Ich brauche etwas Zeit, um mich auf eine neue Umgebung einzustellen.","Wenn ich mich auf eine Sache konzentriere, passiert es häufig, dass ich meine Umwelt völlig ausblende.",Meinen Geburtstag feiere ich am liebsten alleine oder im engsten Kreis.,"An Diskussionen beteilige ich mich nur, wenn ich etwas Neues einzubringen habe, mir meiner Sache sicher bin oder ein bestimmtes Ziel erreichen möchte.","Ich finde es wichtig, anstehende Probleme zu lösen, bevor ich mich zukünftigen oder grundsätzlichen Themen zuwende.",Ich bin eher realistisch und stehe mit beiden Beinen im Leben.,Bei der Lösung von Aufgaben vertraue ich auf meine Erfahrung.,"Ich übernehme gerne eine Aufgabe, wenn klar ist, welche Maßnahmen erforderlich sind, wenn sie überschaubar ist und wenn klar ist, was von mir erwartet wird.",Ich halte mich nicht gerne mit Einzelheiten und Details auf.,Erfolge in der Gegenwart sind für mich Meilensteine auf dem Weg zu noch größeren Errungenschaften in der Zukunft.,"Je neuartiger und komplexer eine Aufgabe ist, desto mehr Reiz übt sie auf mich aus.",Ich verbringe lieber Zeit mit dem Ausloten von Handlungsmöglichkeiten als mit der Erörterung der Ausgangssituation.,"Bei meinen Entscheidungen achte ich darauf, dass sie klar und nachvollziehbar sind und mit anderen Entscheidungen im Einklang stehen.","In Konflikten sehe ich die Sache im Vordergrund, die Person eher im Hintergrund.",Ich verhalte mich in der Regel neutral und zeige nur selten Emotionen.,Ich treffe Entscheidungen eher im Sinne der Sache als mich von den betroffenen Personen beeinflussen zu lassen.,Anerkennung und Lob gehören für mich zu den wichtigsten Führungsinstrumenten.,"Um gute Leistungen erbringen zu können, muss ich mich mit meiner Arbeit und meiner Firma identifizieren können.",Meiner Meinung nach lassen sich Persönlichkeit und menschliches Verhalten nicht systematisieren und in ein Schema pressen.,Oft agiere ich als Vermittler zwischen gegensätzlichen Meinungen.,"Ich bin bereit, mich auf Wünsche anderer einzustellen, wenn ich entsprechend vorher darüber informiert werde.",Vertrauen entbindet nicht von der Verpflichtung zur Kontrolle.,"Ich plane meine Aufgaben so, dass ich sie termingerecht abschließen kann.","Ich verlasse mich lieber auf Aufzeichnungen und Protokolle, bevor ich versuche, alles im Gedächtnis zu behalten.",Gestaltungsfreiheit und Abwechslung in meiner Arbeit sind für mich sehr wichtig.,"Ich lasse mich gerne von der Arbeit ablenken, wenn ich etwas Neues kennenlernen kann.","Ich komme oft unter Zeitdruck, weil ich Dinge bis zur letzten Minute aufschiebe.","Wenn es um Entscheidungen geht, lasse ich mich nicht gerne drängen.","Ich bin bereit, mich auf Wünsche anderer einzustellen, wenn ich entsprechend vorher darüber informiert werde.",Bevorzugte Team-Partner*in für die nächste Einheit. (Bitte zuerst Vor- und dann Nachnamen. Max. 3 Personen mittels Beistrich getrennt),Note
2024/06/02 09:36:53 OESZ,s1,Weiblich,9,5,zwischen 10 und 20 Stunden,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,"s14, s3",7.3
2024/06/02 09:58:47 OESZ,s2,Weiblich,4,5,zwischen 10 und 20 Stunden,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Ja,"s3, s19, s1",1.7
2024/06/02 09:39:59 OESZ,s3,Männlich,7,7,über 40 Stunden,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,s15,7.9
2024/06/02 09:39:37 OESZ,s4,Weiblich,7,5,zwischen 10 und 20 Stunden,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,"s13, s6",4.8
2024/06/02 09:35:30 OESZ,s5,Männlich,8,6,über 40 Stunden,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,"s13, s10",8.4
2024/06/02 09:45:12 OESZ,s6,Männlich,5,4,zwischen 21 und 30 Stunden,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,"s14, s19",6.0
2024/06/02 09:51:14 OESZ,s7,Keine Angabe,9,7,zwischen 10 und 20 Stunden,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Nein,"s14, s9, s2",7.3
2024/06/02 09:56:44 OESZ,s8,Weiblich,5,8,zwischen 10 und 20 Stunden,Ja,Nein,Nein,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Nein,"s2, s9",6.5
2024/06/02 09:37:56 OESZ,s9,Weiblich,4,10,über 40 Stunden,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Ja,Ja,s16,7.3
2024/06/02 09:50:56 OESZ,s10,Keine Angabe,7,3,über 40 Stunden,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,s14,6.0
2024/06/02 09:52:24 OESZ,s11,Weiblich,6,7,unter 10 Stunden,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,s9,3.6
2024/06/02 09:50:7 OESZ,s12,Weiblich,9,9,unter 10 Stunden,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Ja,"s14, s12",6.8
2024/06/02 09:35:36 OESZ,s13,Sonstiges,6,5,zwischen 21 und 30 Stunden,Ja,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Ja,s17,6.5
2024/06/02 09:35:19 OESZ,s14,Weiblich,10,6,zwischen 31 und 40 Stunden,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Nein,"s21, s6, s3",7.7
2024/06/02 09:59:8 OESZ,s15,Männlich,5,10,zwischen 31 und 40 Stunden,Nein,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Nein,"s1, s6",5.6
2024/06/02 09:42:4 OESZ,s16,Weiblich,4,4,zwischen 31 und 40 Stunden,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,"s3, s22",6.1
2024/06/02 09:37:17 OESZ,s17,Weiblich,4,10,zwischen 21 und 30 Stunden,Ja,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,"s23, s16, s3",7.5
2024/06/02 09:44:38 OESZ,s18,Keine Angabe,9,7,unter 10 Stunden,Ja,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,"s9, s16",6.7
2024/06/02 09:35:54 OESZ,s19,Männlich,6,5,über 40 Stunden,Ja,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Ja,s11,5.8
2024/06/02 09:59:57 OESZ,s20,Weiblich,5,9,zwischen 31 und 40 Stunden,Ja,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,"s21, s3",9.8
2024/06/02 09:50:50 OESZ,s21,Keine Angabe,7,10,unter 10 Stunden,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,"s7, s2",5.4
2024/06/02 09:56:31 OESZ,s22,Männlich,5,9,zwischen 21 und 30 Stunden,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Nein,"s4, s13, s21",5.4
2024/06/02 09:55:36 OESZ,s23,Männlich,6,6,zwischen 10 und 20 Stunden,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Ja,s2,4.2
